PK_CLIENTES;customer_key;customer;business_family_name;business_unit;customer_type;division;line_of_business;phone;region_code;regional_sales_mgr;search_type
cdc89ae97e463d1f090fb8313203c398139dfdcf0de326d2941a4a33dca93ba7;10000481;Abbott Shop;R2;1;G2;2;Nao Informado;816-455-8733;4;S5;C
51c95be7cc0571fafc8f76f9f78c5b80fb8982758c433bc3ff9d5b98f966927a;10023244;Revolutionary Supermarket;R2;1;G2;2;Nao Informado;816-455-8733;2;S5;C
7ae82a39fd8be7fa6e1a6e79f8dc76896d9a1ba28cd4bcb3b58184acba46e29b;10000460;Meals Market;R3;1;G2;2;Nao Informado;816-455-8733;2;S16;C
8d65395dfbd328b4da353b96d27c534ed45e416a6e345c2a5a11f84feeed2200;10006983;Brentano's Shop;O1;1;G2;1;Nao Informado;816-455-8733;5;S5;C
0cbe6731c1f6a591228abe4865ef050590c24a14e17359d89025b97dbf7c5189;10009672;DEAC Shop;R3;1;G2;2;Nao Informado;816-455-8733;1;S16;C
4d559e90c13cf4c370f0db6b6396f4d394313189d5fbf054a760454d389dc0af;10004602;Best Supermarket;R3;1;G2;1;Nao Informado;816-455-8733;5;S16;C
fc836d7ca208f2db9c8eaf9be15cb5bc7e023c3200851d4f51e38d8e2b6c5ca8;10022167;Quallaby Megaplace;R3;1;G1;1;M1;816-455-8733;5;S16;C
a816907f00476bc0d0fa5918dd6b0d99b7d272326d851e5090ea5d0160cb89be;10026009;Vectrix Shop;R3;1;G1;1;M1;816-455-8733;5;S18;C
fa470b54394a958d26785e6917466e83a725cb14c2aabb2bb3e0627a193c7e7e;10008638;CAPTA Shop;R3;1;G2;2;Nao Informado;816-455-8733;3;S1;C
b213fcd5dcf1f7b8b8f341de62306d7348b07743e3c5c3dab8e39d5a65a3cae5;10018868;Karickal Store;R3;1;G1;1;M1;816-455-8733;5;S19;C
7f871151b36438cfb62fcee013dd784d1851192eed219a59148fd16ac004302b;10020256;Maxtor Shop;O2;1;G2;1;Nao Informado;816-455-8733;5;S12;C
77cbfcf45353e06f303fbf02c59c9ddb187ca6ffbf70cafb7bb1910e4bce0d54;10014540;HarveyOpolis Shop;R3;1;G1;1;M1;816-455-8733;5;S16;C
c8fef69157564b38823b41fe8e3515366cab32f98fccd9c954c443848a41f2f3;10025033;Tally Store;R3;1;G2;2;Nao Informado;816-455-8733;1;S16;C
bc9e0960e9b4227276847a25fe9218635842f42faaa90de09297300ed7b33a9e;10020931;OutPost Market;R2;1;G2;2;Nao Informado;816-455-8733;1;S5;C
6638ff5fc7a3a67e3df47dddc91bcc9ca408f8a41ff90e1f20494988ed085b5b;10009654;DCS Store;R3;1;G2;2;Nao Informado;816-455-8733;2;S16;C
ca74b61ea231edf4fac4b510e851f319d4381318a93f0ae8142a71e3620dcaea;10019682;Lamson Store;R3;1;G2;2;Nao Informado;816-455-8733;4;S3;C
2620fe2cde880d8e2e913c3db9d594e4bc16797e45eadec7c4672872aae17340;10021668;Pathlight Market;R3;1;G2;2;Nao Informado;816-455-8733;4;S1;C
47a81566e33b16ee773f4e02fe35f3f37cca874fc350bfe0f493a4494ed24eac;10020662;Nematron Shop;R3;1;G1;1;M1;816-455-8733;5;S19;C
3dbf85d1ece3faf8b7ed6b53a2445e460370fea8a7597d72cc5e3927e5428ccd;10015011;Hederman Supermarket;R3;1;G1;1;M1;816-455-8733;5;S19;C
d11b7c6b7a7d4d382f2436d8a816d79d5ecdbb7c74fc6d8a438dd23248a3f368;10002709;Active Store;R3;1;G2;2;Nao Informado;816-455-8733;1;S1;C
25dc2c0e05b1df2fac73c6a9465cc1e933c7aad23add8b701dfbaf6d618efd66;10024942;Tag Supermarket;R3;1;G2;1;Nao Informado;816-455-8733;5;S1;C
6c86d74f01a52b462bb7c68289abf6279a37fa48ecc5c5d74b8dd73a2e6bebcf;10024743;Stone Supermarket;R3;1;G2;2;Nao Informado;816-455-8733;1;S1;C
0ca4369f36146def29b03df445218f90c38c158d42815aeae3684bf07173f907;10000480;Abbotsbury Shop;R2;1;G2;2;Nao Informado;816-455-8733;1;S5;C
6159fdcbf80ff05c5946fe7fbbbcdf15d41cf30811420bdfe04c3fff7c0239bd;10022456;Ra Maxistore;R3;1;G2;2;Nao Informado;816-455-8733;1;S16;C
100e7d0e2cb82b0c3108e70a71c03649af93869bdf1c5d38bbae8ec2c43dc6ba;10019617;Kool-Seal Shop;R3;1;G2;2;Nao Informado;816-455-8733;2;S1;C
b5c458e8c5c5ce0583659b1b822a193cf7d6ade6d1dbcee6c783edcab8cac70d;10016047;High Store;R3;1;G2;2;Nao Informado;816-455-8733;2;S16;C
6365e8af43a864baa12aefbc5215aa3217eba7b5ad1a89f1e76127f91eb11528;10008602;Caprica Supermarket;R3;1;G2;2;Nao Informado;816-455-8733;3;S1;C
471b4de4d7ca718b77eb356e2d4fec9b37742a8447c123e8a70bcff7317f55f4;10007123;C Supermarket;R3;1;G2;2;Nao Informado;816-455-8733;2;S16;C
9ef9afe817ee8479247bf01612178cf2053302df3ef633e0736d5fa127668631;10020364;Mersey Market;R3;1;G2;1;Nao Informado;816-455-8733;5;S16;C
98954e0d0bdfb7def193982253bd939b04974860de5c4061a2a84826b17357cc;10013332;GateMaster Shop;R3;1;G2;1;Nao Informado;816-455-8733;5;S16;C
7e1c2675132a4063a44569168d301b080ed642129bda49581237e2a49e7fff3a;10021380;Pangaea Store;R3;1;G2;1;Nao Informado;816-455-8733;5;S9;C
b7b1916376a3be4bbbabe01e634c11637000ac4fb4806fe437154fef13a017ed;10017576;Illuminati Shop;R3;1;G2;2;Nao Informado;816-455-8733;2;S16;C
d4a9fbb5593be9f792f5809069dd636fdc6feb0cc652cc5b573069646b80d471;10002506;ActionWorld Shop;R3;1;G2;2;Nao Informado;816-455-8733;1;S16;C
eb20572fad7a1fdf6d003c98f4f384fcac614d50930775c0fac9ae444aeca96f;10025305;Ubicco Shop;R3;1;G2;2;Nao Informado;816-455-8733;1;S16;C
173c1e2a13991dd2999345cdefd59261735bd788ed30ac90b307d713a13c46e2;10016564;Home Market;R3;1;G2;2;Nao Informado;816-455-8733;4;S16;C
8164dd0af5c408051c896d9aff7b30a4844007081c21bb8ed04f9968c74aa4ce;10002412;Acsior Shop;R3;1;G1;1;M1;816-455-8733;5;S19;C
8b6aaeb4764b1909b53e9b2c90613f6ba778f645f189b8aac41bf190df09d618;10025288;Transylvania Supermarket;R3;1;G1;1;M1;816-455-8733;5;S19;C
e4ee966dfc15e8997923d044cda705939d44a8eb2707ece68ceddc4157ea80de;10019109;KentISP Shop;O2;1;G2;2;Nao Informado;816-455-8733;1;S12;C
ab344115fb99974fc48210af60efdd19404241e7ee9b5620934709212fe813b9;10024524;Southam Supermarket;R2;1;G2;2;Nao Informado;816-455-8733;4;S9;C
f83f388cef57fdeebda4448dd0397a1e36be3c5789e403e83a5d48e62e65b85c;10021911;PING Shop;R3;1;G1;2;M1;816-455-8733;2;S19;C
7e1ef69588d9d582fca977f93e6dd3b5ae959f682bcfcb120a6f96fb383e125d;10026336;WBM Store;R3;1;G2;2;Nao Informado;816-455-8733;2;S16;C
6f451bd2ce82f8df93155499879f8fe437e112ef851e142efcb38cfea70f3d3f;10023783;Saturnus Supermarket;R3;1;G2;2;Nao Informado;816-455-8733;2;S16;C
